0,1,2,3,4,5,6,7,8,flower_type
0.10533013,0.11181729,0.10414811,0.11651197,0.10941904,0.10779616,0.11011331,0.11571125,0.11915271,1
0.10706875,0.107955076,0.105004184,0.11767085,0.108180985,0.112149924,0.11486592,0.10983673,0.1172676,4
0.114656314,0.10746105,0.102727495,0.11430927,0.11523786,0.110698774,0.10951026,0.106116846,0.11928221,1
0.11126025,0.11161025,0.10394823,0.11525839,0.109423995,0.10735593,0.1127126,0.11078393,0.11764645,4
0.1066012,0.10946043,0.10759722,0.11377443,0.11452455,0.11033668,0.109995954,0.1058329,0.12187671,6
0.11380451,0.1107954,0.10658605,0.115615964,0.11388855,0.10781275,0.11192259,0.10645265,0.113121435,2
0.11087167,0.11152608,0.10585245,0.11717397,0.11006616,0.10723112,0.11440306,0.106265835,0.11660966,6
0.10679837,0.108453326,0.106771484,0.11186197,0.11035349,0.11159318,0.11572786,0.11270294,0.1157374,4
0.10497902,0.10672583,0.101834044,0.11019387,0.10997609,0.113462634,0.1211259,0.10879996,0.12290257,1
0.11209999,0.106490076,0.10671127,0.114261486,0.1128368,0.11155739,0.109577656,0.11076099,0.1157043,1
0.110963665,0.110926524,0.104305044,0.11440011,0.11513173,0.10824139,0.110538416,0.1084933,0.11699977,2
0.110799104,0.11569418,0.10384277,0.11592694,0.116594866,0.1040333,0.11144306,0.10494847,0.11671725,5
0.112720385,0.106906645,0.10428722,0.110471636,0.10990305,0.11114361,0.11185904,0.113534264,0.11917411,3
0.10624676,0.10315549,0.10481302,0.11305829,0.11972946,0.11081109,0.11284771,0.10935198,0.11998622,0
0.11229135,0.111754484,0.10930377,0.109222,0.118135445,0.106195904,0.107976705,0.10665967,0.11846065,8
0.10986996,0.11051731,0.10380009,0.117884114,0.11420179,0.10818506,0.10925924,0.11088475,0.11539771,3
0.11248583,0.11026121,0.108354405,0.11447993,0.111577444,0.11027922,0.105311036,0.1115355,0.11571548,5
0.10785081,0.10476383,0.09883001,0.11728132,0.11583569,0.11540972,0.11507451,0.10927516,0.11567897,1
0.11497403,0.113139816,0.11009024,0.11213875,0.11261328,0.1080384,0.10700345,0.10578261,0.116219416,0
0.112899736,0.11474553,0.10562288,0.110974945,0.11706062,0.107242,0.11172673,0.1044145,0.11531302,4
0.10817478,0.110732235,0.103798054,0.116243154,0.11766908,0.11009217,0.112198055,0.107799515,0.11329291,8
0.11116286,0.11379887,0.104038455,0.11040492,0.121334426,0.10771491,0.11170733,0.10238994,0.11744827,3
0.109738596,0.11256636,0.10770024,0.10857356,0.11168213,0.10894344,0.11206931,0.11175714,0.116969235,1
0.1117812,0.11156685,0.102777965,0.112519234,0.11724103,0.10677445,0.11253617,0.10739581,0.11740728,3
0.113460705,0.11216209,0.10578754,0.11092359,0.116956934,0.10761066,0.10877664,0.104555376,0.11976647,6
0.10844322,0.11403767,0.10421848,0.114203416,0.113357134,0.107903875,0.111876845,0.11015789,0.115801476,3
0.110991724,0.11177697,0.10160905,0.11258388,0.11241208,0.1102506,0.113229685,0.11019357,0.11695242,2
0.10905809,0.1111428,0.10228388,0.110983126,0.11024353,0.11411013,0.115506314,0.11197944,0.114692725,1
0.10907914,0.11033543,0.10678111,0.1154238,0.11709433,0.10675096,0.10950135,0.11489468,0.11013923,1
0.10621783,0.108187534,0.1065873,0.11328233,0.111468755,0.108687535,0.11650318,0.110462636,0.118602894,4
0.10935283,0.109779775,0.10692515,0.11114649,0.1150458,0.10872027,0.11235327,0.108845405,0.11783099,6
0.10772213,0.11272565,0.10145171,0.116451934,0.11160369,0.10995392,0.11254734,0.11086257,0.116681054,4
0.10727263,0.11218077,0.102645166,0.11353438,0.11217137,0.10935595,0.1129166,0.11017194,0.11975112,3
0.105081394,0.11013139,0.10360474,0.115273714,0.118327536,0.108047426,0.11207859,0.11268977,0.11476551,5
0.10996827,0.1090507,0.10216449,0.11666808,0.11453205,0.10683744,0.11317669,0.10913393,0.11846836,5
0.10895867,0.11293807,0.101023436,0.116144106,0.11402752,0.10746569,0.11086657,0.10894883,0.119627066,1
0.11150279,0.109252416,0.10256023,0.113260746,0.11373252,0.1116225,0.10901841,0.10913631,0.119914085,6
0.1065139,0.10569519,0.10711613,0.113004334,0.118610725,0.10697945,0.11554674,0.10977274,0.11676081,0
0.11281382,0.11052397,0.10586678,0.11542141,0.109952964,0.11202844,0.11203845,0.102943644,0.11841048,7
0.113127984,0.10736083,0.10745701,0.11123174,0.11250963,0.109625794,0.11244277,0.110850275,0.115393996,0
0.10420626,0.110387005,0.104401775,0.11552797,0.11264099,0.10926487,0.11521723,0.109593436,0.11876046,1
0.10559566,0.11092079,0.105927095,0.11689119,0.114354305,0.10869787,0.11102109,0.106989965,0.11960202,0
0.111754894,0.110789694,0.0992734,0.11393,0.12189983,0.10599905,0.11190993,0.1040311,0.1204121,6
0.10692932,0.11171687,0.106662355,0.11058972,0.1136008,0.10777776,0.11384563,0.108698264,0.12017936,8
0.10677288,0.11391669,0.10431496,0.11531997,0.112455755,0.10644313,0.1139206,0.10790043,0.118955575,6
0.11038522,0.106494255,0.10697485,0.118603624,0.12155785,0.108116,0.10913671,0.1093532,0.10937827,6
0.10599365,0.10108903,0.10385937,0.11315963,0.10718024,0.11562531,0.11356829,0.11435097,0.1251735,0
0.10209733,0.10417509,0.10499565,0.114236236,0.113285,0.11483871,0.11544134,0.11562928,0.11530135,5
0.11439317,0.10416278,0.09926487,0.11417878,0.120485015,0.109459095,0.10889567,0.11024679,0.11891393,3
0.11684783,0.106425405,0.10858077,0.113101415,0.12004814,0.108112134,0.10439949,0.10767402,0.11481079,8
0.10869323,0.11037421,0.10996148,0.11161397,0.114567205,0.110755645,0.11209799,0.109102674,0.11283362,6
0.11214293,0.11072453,0.1087503,0.111211166,0.119072795,0.10603671,0.10730707,0.11102762,0.11372686,8
0.11409393,0.109901294,0.10612791,0.11447268,0.11867572,0.10886903,0.10732595,0.10736884,0.11316459,8
0.110757574,0.11456395,0.10181337,0.1118622,0.114244424,0.103853434,0.115848646,0.11061065,0.11644579,8
0.109232925,0.10831173,0.10543387,0.1147473,0.11522114,0.10909459,0.113234825,0.109600395,0.11512327,2
0.10752628,0.11033321,0.10295694,0.11467706,0.112291105,0.11023676,0.11116984,0.10885536,0.121953435,5
0.11030202,0.11607485,0.10271942,0.11406015,0.10916884,0.10478496,0.11456757,0.107742205,0.12058,4
0.10728651,0.10700908,0.10438195,0.117413744,0.11160375,0.1191373,0.11123188,0.10764444,0.11429145,0
0.10906361,0.10976366,0.105004124,0.11892728,0.1127639,0.10751989,0.11108757,0.108732,0.117138006,5
0.10869209,0.11405898,0.10332045,0.11504048,0.11128153,0.10791968,0.11253205,0.109672785,0.11748187,3
0.11186537,0.110655196,0.1067174,0.11285124,0.11337069,0.10816977,0.11202904,0.10718521,0.117156096,0
0.11339094,0.10499799,0.10570475,0.107515745,0.12733524,0.115838364,0.10204437,0.10826951,0.11490313,8
0.11203142,0.1030243,0.10446654,0.111750044,0.11083574,0.10989206,0.11612438,0.10930199,0.1225735,1
0.11382808,0.10611421,0.10817019,0.11423911,0.11959179,0.11039894,0.10711563,0.1049192,0.11562289,8
0.11258618,0.10714599,0.105233766,0.111788265,0.11484762,0.113697305,0.11168701,0.10821258,0.11480129,2
0.11085795,0.10923276,0.108629376,0.11467241,0.11034946,0.107867785,0.111530304,0.110157125,0.11670285,2
0.105875775,0.11076034,0.10269471,0.11337336,0.11580067,0.11298596,0.10944272,0.11620847,0.11285797,4
0.11001385,0.10758376,0.1027633,0.11172142,0.11483133,0.11200019,0.11453173,0.107923746,0.11863067,2
0.108232334,0.111538425,0.1062557,0.10986161,0.111836284,0.111775346,0.113728575,0.11026659,0.11650518,1
0.10657796,0.10382126,0.104050405,0.112322226,0.12025784,0.10570192,0.11242531,0.11373392,0.121109135,8
0.111379504,0.109124854,0.10540979,0.11124749,0.11760857,0.107729934,0.11101906,0.11390496,0.11257585,0
0.10192045,0.11076477,0.10656434,0.11552055,0.11453071,0.11214361,0.11359303,0.11208936,0.1128732,8
0.11137918,0.11330014,0.1003709,0.11665042,0.1119673,0.10663783,0.114734486,0.10667266,0.11828709,2
0.109287076,0.109983616,0.10455473,0.11218301,0.115799464,0.10914765,0.11231098,0.10880717,0.1179263,6
0.10759048,0.11186657,0.10595195,0.11279925,0.1172395,0.104375795,0.113855146,0.10859572,0.117725596,5
0.109909795,0.11274383,0.1069654,0.11169046,0.11896707,0.10480205,0.106115624,0.10830139,0.12050434,2
0.10997788,0.11074682,0.111757345,0.11221401,0.116919845,0.11250592,0.106146276,0.10521296,0.114518926,8
0.10998479,0.11346862,0.10602255,0.11302022,0.11192621,0.10957989,0.11106144,0.109802194,0.11513405,2
0.11594535,0.11332355,0.105904,0.11266178,0.117092766,0.10815397,0.10649803,0.10233723,0.118083335,6
0.106548384,0.11351442,0.10373851,0.11422528,0.11095004,0.109759286,0.11425882,0.10718274,0.11982259,5
0.11266833,0.11073683,0.10713072,0.115080096,0.113455534,0.10899924,0.110244595,0.10759704,0.11408755,7
0.10692049,0.10917514,0.10515963,0.11227388,0.11187776,0.11053993,0.11332646,0.11524348,0.115483195,4
0.10897991,0.11012558,0.105177306,0.11012823,0.11044405,0.111119516,0.11529047,0.11082401,0.117910914,0
0.108193316,0.10175964,0.10161766,0.11444968,0.11971723,0.10904309,0.113458574,0.109348364,0.12241248,7
0.11060158,0.10692651,0.105215386,0.11394605,0.11934278,0.112695456,0.10657004,0.10641471,0.11828743,8
0.11580333,0.10601624,0.1057294,0.109794796,0.11006328,0.11497925,0.109445706,0.10808033,0.1200877,7
0.11145795,0.11357616,0.1085362,0.11255289,0.11446202,0.10783637,0.10800418,0.1085053,0.11506885,1
0.1060917,0.10919045,0.10595398,0.1119041,0.10990232,0.11424965,0.11805835,0.10848397,0.116165474,1
0.10562413,0.10530057,0.105568215,0.11217694,0.11865529,0.109139845,0.11455041,0.10748955,0.12149506,8
0.109517395,0.111363634,0.10953569,0.11435872,0.11673743,0.109838225,0.10817108,0.10921803,0.111259736,2
0.10710701,0.11119342,0.108231336,0.11483339,0.11247223,0.11113568,0.109210856,0.10779781,0.11801832,6
0.1082027,0.11030929,0.10550654,0.1142979,0.11193805,0.10705118,0.114626385,0.11044434,0.11762362,2
0.1092809,0.109791525,0.10805086,0.11315866,0.10732826,0.11126745,0.11602048,0.10734756,0.117754325,3
0.10979786,0.11461144,0.107055426,0.115982555,0.113562725,0.106274046,0.11270451,0.104293294,0.11571809,5
0.101333566,0.10996934,0.11033059,0.11226506,0.11390557,0.10594452,0.11396999,0.11397094,0.11831036,8
0.108701825,0.11038454,0.10304556,0.11688589,0.11417678,0.108070396,0.109421685,0.10940523,0.11990816,3
0.110692166,0.11062333,0.10330258,0.115082875,0.12198458,0.10337757,0.1148749,0.098307945,0.121754095,0
0.103621654,0.11086086,0.10444184,0.119429804,0.118675455,0.10942957,0.11060135,0.1083428,0.114596635,2
0.10484109,0.111465134,0.10847868,0.11551511,0.11318898,0.1098273,0.1072938,0.11819363,0.11119628,4
0.1133506,0.106649466,0.10623853,0.11244178,0.11459945,0.113210455,0.108483806,0.10856129,0.11646458,6
0.108004086,0.11123608,0.101977736,0.11501048,0.11059673,0.108050495,0.11396287,0.11123507,0.11992653,2
0.1075091,0.115532964,0.10567908,0.114715815,0.1140524,0.105066955,0.11252685,0.10228584,0.12263095,6
0.10818901,0.10902081,0.103806995,0.11062833,0.1110914,0.1100023,0.1154027,0.11246622,0.1193923,4
0.1041207,0.10993601,0.10507259,0.11331108,0.11108157,0.11154742,0.117433876,0.110669,0.11682775,0
0.11554677,0.10536154,0.10342992,0.11054538,0.116251044,0.10954839,0.11340345,0.10611414,0.119799376,7
0.10000385,0.10589308,0.10298369,0.11628132,0.12166757,0.113036096,0.11293938,0.11390858,0.113286406,6
0.1094986,0.10958744,0.10557197,0.11428389,0.106940955,0.1095146,0.11457635,0.11120852,0.118817665,6
0.11044552,0.108512625,0.10566671,0.11639722,0.11236866,0.11191266,0.110534266,0.10939348,0.11476877,6
0.10634997,0.114171915,0.10156789,0.114506625,0.11252757,0.10377863,0.11942841,0.10591828,0.121750675,0
0.1073702,0.11052302,0.10775041,0.110708244,0.110986024,0.112380415,0.11456524,0.11189193,0.11382449,4
0.10825098,0.11031921,0.10403391,0.11530642,0.11652257,0.107282914,0.11134126,0.11097897,0.115963824,0
0.110050134,0.11229494,0.10345508,0.11390251,0.11299304,0.10662371,0.11156493,0.11003136,0.11908421,2
0.1121434,0.11060646,0.105923384,0.11513719,0.11238125,0.10705658,0.11140643,0.110532366,0.114812985,3
0.10934641,0.105537035,0.10434557,0.110277034,0.11803682,0.11634116,0.113900535,0.10757209,0.1146433,5
0.1095182,0.11050327,0.10404659,0.11143108,0.1162781,0.11084532,0.11063202,0.11169056,0.11505486,2
0.10865305,0.11518959,0.10633391,0.109774426,0.11295019,0.1095016,0.108652785,0.10758035,0.12136407,6
0.1080172,0.11167536,0.10825717,0.116429895,0.10901697,0.10717088,0.11207336,0.110496506,0.116862655,5
0.11308155,0.10836647,0.10675327,0.11276572,0.11467787,0.11167405,0.10836531,0.10935449,0.114961244,1
0.11307869,0.10809795,0.10429936,0.11308775,0.11644978,0.11054117,0.11182235,0.10704132,0.11558162,8
0.113817714,0.111834645,0.105824836,0.10888335,0.11183606,0.1099407,0.11297576,0.109148644,0.115738325,1
0.11453172,0.109640084,0.1066437,0.1105322,0.11075777,0.111315906,0.111888826,0.110047475,0.114642374,4
0.10890303,0.109674886,0.1039042,0.11496687,0.11159182,0.10862477,0.112432875,0.10991976,0.11998186,2
0.10831906,0.11232227,0.10494085,0.11165811,0.11305461,0.10812844,0.11537671,0.10758414,0.11861588,2
0.1095783,0.10910838,0.10452102,0.116785176,0.11269916,0.10452831,0.11072521,0.11026637,0.12178817,6
0.108478904,0.10626326,0.10901167,0.111563906,0.1142195,0.11496835,0.11041777,0.11193807,0.113138504,3
0.1094231,0.10530958,0.10800474,0.11061061,0.10723294,0.114774875,0.11441804,0.10945635,0.12076977,7
0.10987078,0.103032365,0.100019336,0.110163525,0.11730186,0.10802783,0.12250213,0.11062382,0.11845838,0
0.1138661,0.112737894,0.10576807,0.11434909,0.1189443,0.11077958,0.104998074,0.10512861,0.11342827,3
0.11557464,0.11242545,0.108201444,0.10840133,0.12711976,0.104182415,0.1098607,0.104278125,0.10995613,1
0.108891666,0.110081114,0.10783019,0.1159348,0.10945397,0.10965559,0.11387649,0.1112207,0.11305544,2
0.107342646,0.10953301,0.103928454,0.114962995,0.11265277,0.11036732,0.10931781,0.11046202,0.12143307,3
0.109434605,0.10657358,0.10581518,0.11129223,0.11238967,0.11174457,0.11526531,0.110894404,0.116590396,3
0.10671998,0.10744609,0.10348913,0.11218771,0.112766236,0.11200041,0.11427467,0.11339396,0.1177218,0
0.10731793,0.1080488,0.10694342,0.1153139,0.115474336,0.10891248,0.11366802,0.112673126,0.11164801,8
0.10732903,0.10887327,0.10660186,0.112958714,0.11647902,0.115502164,0.109383784,0.10644243,0.11642977,8
0.1080142,0.11136539,0.10750902,0.11238482,0.115193546,0.10470405,0.10910608,0.108700946,0.12302202,0
0.10413589,0.104972914,0.10324076,0.11408678,0.11345852,0.112607256,0.114193,0.11444571,0.11885915,3
0.10875197,0.11149818,0.10426054,0.116586216,0.11408873,0.10786034,0.10942637,0.10875036,0.11877737,3
0.10543606,0.1162042,0.10454687,0.11682689,0.1137655,0.10928295,0.107547864,0.112019606,0.11437002,4
0.10585322,0.11248019,0.1041482,0.11260563,0.115041524,0.10660177,0.114900954,0.10440867,0.12395985,3
0.102850065,0.10767872,0.10535202,0.111611634,0.115312144,0.11083741,0.1153621,0.11421212,0.11678377,4
0.10919704,0.10675611,0.1088591,0.11563385,0.114264645,0.11238607,0.10857442,0.10861865,0.1157102,3
0.1153052,0.11081918,0.105826885,0.11072975,0.12159272,0.10983322,0.104751416,0.10635823,0.11478343,1
0.10932519,0.11171015,0.104211815,0.11418632,0.10845282,0.10752825,0.11432215,0.111766964,0.118496396,2
0.10884696,0.10882208,0.105871625,0.11106311,0.111498065,0.10960661,0.110602796,0.11181944,0.12186917,3
0.11040816,0.10666971,0.10162131,0.11409606,0.10721463,0.110647835,0.115803525,0.11258613,0.12095265,4
0.11288254,0.10759629,0.104186386,0.11198007,0.12140697,0.11066974,0.10697515,0.107756115,0.1165467,3
0.108012944,0.114347324,0.1018765,0.11504301,0.11043369,0.10859742,0.11128018,0.10847107,0.12193791,3
0.11284154,0.10916378,0.10565883,0.11275969,0.12102756,0.10628985,0.11058248,0.10664076,0.11503549,7
0.10844916,0.10933145,0.10451364,0.11321607,0.11480661,0.10726949,0.11755603,0.10675662,0.11810094,3
0.10712609,0.10791274,0.107574694,0.11149621,0.119457856,0.11481991,0.10910525,0.10678612,0.11572109,5
0.10654388,0.10891909,0.10816372,0.11314674,0.112719364,0.109380454,0.11317014,0.11115683,0.11679981,0
0.10865371,0.11451804,0.10559198,0.110182114,0.11400707,0.106551625,0.11497675,0.10647081,0.11904788,1
0.11066942,0.111930266,0.105517186,0.10664676,0.115226716,0.110685684,0.10783607,0.11395047,0.1175375,7
0.10711235,0.11270627,0.10534906,0.113297455,0.11210957,0.109921165,0.11407034,0.106609434,0.1188243,8
0.10665807,0.10750838,0.106731184,0.11179249,0.116195165,0.10977255,0.11372509,0.10906519,0.11855194,4
0.10651734,0.10798166,0.1076689,0.11614048,0.11589109,0.10888103,0.110915,0.10904317,0.116961315,0
0.10463682,0.10999985,0.10304971,0.1171016,0.10960338,0.10820572,0.11640113,0.11140541,0.11959629,5
0.10972894,0.107545085,0.10864075,0.11383695,0.10993496,0.113496624,0.11115946,0.10946707,0.116190135,1
0.10830949,0.108302444,0.10333819,0.11439126,0.1087786,0.108375154,0.11637044,0.10826839,0.12386597,4
0.105199456,0.110377125,0.101829074,0.11503837,0.11410147,0.10952631,0.11355149,0.10956851,0.120808184,8
0.11565871,0.10938279,0.10579346,0.11786082,0.1158391,0.11057328,0.1084784,0.10412401,0.11228939,3
0.11468458,0.10996049,0.10381021,0.10661577,0.1257759,0.10705334,0.11131797,0.10069629,0.12008546,8
0.1095795,0.11238588,0.10807864,0.11259127,0.116042845,0.11242963,0.10921607,0.107421026,0.11225516,4
0.10826886,0.10894584,0.10638697,0.11220582,0.11536582,0.10831114,0.11303729,0.11074393,0.11673431,3
0.10883843,0.112518705,0.10200645,0.114351735,0.114214025,0.107510716,0.11165619,0.10999495,0.11890873,2
0.107371464,0.11410378,0.10691876,0.11321021,0.117406026,0.10983028,0.11012425,0.105532505,0.11550274,0
0.11148773,0.11115782,0.10681585,0.1034771,0.1205116,0.111231565,0.11227565,0.10534542,0.117697254,7
0.10244725,0.10635511,0.10515454,0.11476225,0.11367673,0.11004856,0.1144699,0.11356509,0.119520545,1
0.10647373,0.114253916,0.102292426,0.11607518,0.11670183,0.10587694,0.11152268,0.10944177,0.11736148,3
0.10712265,0.11346142,0.10401648,0.11343211,0.11629234,0.10795795,0.11356395,0.10728221,0.11687082,5
0.10459244,0.10907479,0.10307382,0.11202007,0.11809462,0.11138262,0.1142446,0.10652998,0.120987065,4
0.11070337,0.10871331,0.10508836,0.11338886,0.11239558,0.11271843,0.11272457,0.10608121,0.118186295,6
0.110060915,0.11203938,0.10320416,0.114839114,0.11262208,0.10851736,0.11159287,0.109307304,0.11781681,3
0.11500761,0.11052917,0.10532364,0.11254664,0.12405249,0.1103515,0.10791189,0.102927856,0.11134911,7
0.1090605,0.10710677,0.104763485,0.112939306,0.11339941,0.11294451,0.11320218,0.110418916,0.116165,2
0.11206975,0.10695417,0.10432396,0.112359256,0.1127091,0.10932287,0.11406956,0.110772245,0.11741912,8
0.10886558,0.09991438,0.101994425,0.111010894,0.1099992,0.11420017,0.11818518,0.11091337,0.124916784,1
0.10934696,0.10906974,0.10481806,0.11441076,0.114786066,0.11059289,0.11183339,0.10672131,0.11842076,1
0.10758123,0.10611081,0.1044533,0.112865426,0.10776256,0.1135198,0.117415436,0.10740408,0.12288735,1
0.108277604,0.1090856,0.105541915,0.1138987,0.11693198,0.10954159,0.110646635,0.11252342,0.113552466,8
0.1102429,0.1096898,0.10434018,0.11581437,0.11741253,0.104749806,0.10778747,0.11190346,0.118059434,7
0.10869204,0.10908432,0.107479885,0.111713365,0.11329712,0.11017388,0.114376016,0.10851143,0.11667202,1
0.10660569,0.113717385,0.10588489,0.11191163,0.11360358,0.10759705,0.11416935,0.10681401,0.119696386,5
0.11108569,0.10891831,0.1054518,0.11242155,0.11043494,0.11086903,0.11430328,0.11123655,0.11527887,2
0.10657035,0.1101578,0.103644796,0.116966575,0.10616397,0.109919,0.11531205,0.11018933,0.121076174,7
0.10787412,0.1149209,0.105337344,0.11416509,0.11435904,0.10450119,0.11447502,0.1040953,0.120272025,3
0.10786207,0.110440634,0.107662775,0.109037645,0.11368963,0.109977886,0.115842745,0.1102804,0.11520614,0
0.1108189,0.11347325,0.10395161,0.1188682,0.11655037,0.10798327,0.10775676,0.10627356,0.114324026,1
0.113033324,0.11422934,0.10329006,0.11106266,0.10810747,0.1098851,0.111427195,0.108790725,0.12017413,2
0.11309184,0.11350545,0.10410354,0.11993101,0.11891337,0.106940165,0.10906935,0.10152427,0.112920985,7
0.11122056,0.11254809,0.10779981,0.10939067,0.11095149,0.11084191,0.11257019,0.10935722,0.115320005,0
0.109285496,0.11774773,0.1074419,0.11377315,0.11633112,0.10340856,0.112023026,0.10185796,0.11813109,8
0.10654389,0.11059441,0.10508404,0.11514259,0.11121765,0.10932895,0.11130389,0.11334522,0.117439374,1
0.10772721,0.10290133,0.10096537,0.11463204,0.119076535,0.11033494,0.11452312,0.11057508,0.119264394,7
0.11061017,0.11262934,0.10589161,0.11540591,0.11518335,0.10757427,0.10800861,0.10878056,0.11591615,4
0.114869416,0.1154075,0.10757039,0.111185804,0.11014751,0.10384997,0.11126455,0.10735127,0.118353575,7
0.110552736,0.10280804,0.10317474,0.11108438,0.108605705,0.11305186,0.11561926,0.11187658,0.12322677,8
0.11046515,0.10900958,0.10304508,0.11183855,0.11941791,0.109725,0.114604175,0.109238915,0.11265565,3
0.10545854,0.11035379,0.107254535,0.11481537,0.10984734,0.11373832,0.11171423,0.10938819,0.1174297,1
0.10640955,0.10927756,0.10460172,0.11153607,0.113279976,0.11438692,0.118388996,0.10268022,0.11943904,1
0.11327065,0.112034336,0.106602564,0.11261637,0.1154164,0.105968624,0.10953514,0.110444576,0.11411131,2
